# ---------- BATCH RECIEPT ---------- #
Job ID: 17760799
Job Name: scratch_train.sh
Submit Time: Tue 21 Jul 12:32:16 BST 2026
Job description: Kinematic Regression MHA with no scaling
Node: node873.csf3.man.alces.network
User: m64196am
Partition: gpuL
GPUs: 1
Working Directory: /mnt/iusers01/fse-ugpgt01/phy01/m64196am
# ----------------------------------- #

Job started at : 2026-07-21 12:32:23
Using cuda device with number of GPUs: 1

============================================================
CONTROL PANEL
============================================================

DATA CONFIGURATION
  train_file: kinematic_features_train.h5
  val_file: kinematic_features_val.h5
  test_file: kinematic_features_test.h5
  scaler_file: kinematic_features_scaler.h5
  batch_size: 4096
  num_workers: 4
  pin_memory: True

MODEL CONFIGURATION
  d_model: 64
  nhead: 4
  num_layers: 4
  dropout: 0.1

TRAINING CONFIGURATION
  patience: 10
  min_delta: 0.0
  min_early_stop: 150
  num_epochs: 150
  learning_rate: 0.005
  weight_decay: 0.01
  kl_weight_max: 0.1
  kl_ramp_epochs: 15
  kl_bins: 100
  kl_sigma: 0.2
  kl_eps: 1e-08
  mass_loss_weight: 0.0001
  scheduler_factor: 0.5
  scheduler_patience: 5
  scheduler_min_lr: 1e-06


============================================================
Beginning Training Loop
============================================================
Epoch 61/150 | Train Loss: 0.0986 (KL: 0.0115) | Val Loss: 0.0751 (KL: 0.0115) | Train - Val Loss Diff : 0.0235 | Mass Train Loss : 121.2534 | Mass Val Loss : 88.4794 | Epoch Time: 11.44s | Total Time: 700.03s
Epoch 62/150 | Train Loss: 0.0987 (KL: 0.0117) | Val Loss: 0.0749 (KL: 0.0105) | Train - Val Loss Diff : 0.0238 | Mass Train Loss : 121.3437 | Mass Val Loss : 89.4148 | Epoch Time: 11.43s | Total Time: 711.46s
Epoch 63/150 | Train Loss: 0.0986 (KL: 0.0115) | Val Loss: 0.0747 (KL: 0.0108) | Train - Val Loss Diff : 0.0239 | Mass Train Loss : 121.2698 | Mass Val Loss : 88.1376 | Epoch Time: 11.46s | Total Time: 722.92s
Epoch 64/150 | Train Loss: 0.0985 (KL: 0.0116) | Val Loss: 0.0748 (KL: 0.0089) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 121.2559 | Mass Val Loss : 92.1801 | Epoch Time: 11.45s | Total Time: 734.37s
Epoch 65/150 | Train Loss: 0.0985 (KL: 0.0115) | Val Loss: 0.0751 (KL: 0.0108) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.1522 | Mass Val Loss : 90.1671 | Epoch Time: 11.47s | Total Time: 745.84s
Epoch 66/150 | Train Loss: 0.0985 (KL: 0.0115) | Val Loss: 0.0754 (KL: 0.0133) | Train - Val Loss Diff : 0.0231 | Mass Train Loss : 121.1282 | Mass Val Loss : 85.2766 | Epoch Time: 11.46s | Total Time: 757.30s
Epoch 67/150 | Train Loss: 0.0985 (KL: 0.0115) | Val Loss: 0.0751 (KL: 0.0093) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.0339 | Mass Val Loss : 90.2994 | Epoch Time: 11.61s | Total Time: 768.91s
Epoch 68/150 | Train Loss: 0.0984 (KL: 0.0116) | Val Loss: 0.0755 (KL: 0.0110) | Train - Val Loss Diff : 0.0229 | Mass Train Loss : 120.9595 | Mass Val Loss : 90.7456 | Epoch Time: 11.45s | Total Time: 780.36s
Epoch 69/150 | Train Loss: 0.0984 (KL: 0.0115) | Val Loss: 0.0749 (KL: 0.0098) | Train - Val Loss Diff : 0.0234 | Mass Train Loss : 121.0498 | Mass Val Loss : 91.2717 | Epoch Time: 11.44s | Total Time: 791.80s
Epoch 70/150 | Train Loss: 0.0974 (KL: 0.0112) | Val Loss: 0.0737 (KL: 0.0097) | Train - Val Loss Diff : 0.0237 | Mass Train Loss : 120.4396 | Mass Val Loss : 88.0406 | Epoch Time: 11.46s | Total Time: 803.26s
Epoch 71/150 | Train Loss: 0.0973 (KL: 0.0111) | Val Loss: 0.0741 (KL: 0.0102) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 120.2386 | Mass Val Loss : 89.3981 | Epoch Time: 11.47s | Total Time: 814.72s
Epoch 72/150 | Train Loss: 0.0973 (KL: 0.0112) | Val Loss: 0.0741 (KL: 0.0095) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 120.2859 | Mass Val Loss : 92.2118 | Epoch Time: 11.43s | Total Time: 826.15s
Epoch 73/150 | Train Loss: 0.0973 (KL: 0.0112) | Val Loss: 0.0741 (KL: 0.0102) | Train - Val Loss Diff : 0.0232 | Mass Train Loss : 120.3255 | Mass Val Loss : 89.0884 | Epoch Time: 11.49s | Total Time: 837.64s
