Epoch 110/150 | Train Loss: 0.0898 (KL: 0.0114) | Val Loss: 0.0888 (KL: 0.0081) | KLw: 0.100 | Loss Diff : 0.0010 | Epoch Time: 9.36s | Total Time: 1033.49s
Epoch 111/150 | Train Loss: 0.0899 (KL: 0.0113) | Val Loss: 0.0889 (KL: 0.0080) | KLw: 0.100 | Loss Diff : 0.0010 | Epoch Time: 9.35s | Total Time: 1042.84s
Epoch 112/150 | Train Loss: 0.0899 (KL: 0.0114) | Val Loss: 0.0888 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.38s | Total Time: 1052.22s
Epoch 113/150 | Train Loss: 0.0900 (KL: 0.0115) | Val Loss: 0.0888 (KL: 0.0085) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.38s | Total Time: 1061.60s
Epoch 114/150 | Train Loss: 0.0898 (KL: 0.0114) | Val Loss: 0.0887 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.37s | Total Time: 1070.98s
Epoch 115/150 | Train Loss: 0.0899 (KL: 0.0115) | Val Loss: 0.0888 (KL: 0.0080) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.39s | Total Time: 1080.36s
Epoch 116/150 | Train Loss: 0.0899 (KL: 0.0114) | Val Loss: 0.0887 (KL: 0.0084) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.36s | Total Time: 1089.73s
Epoch 117/150 | Train Loss: 0.0899 (KL: 0.0113) | Val Loss: 0.0887 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.38s | Total Time: 1099.11s
Epoch 118/150 | Train Loss: 0.0899 (KL: 0.0114) | Val Loss: 0.0888 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0010 | Epoch Time: 9.57s | Total Time: 1108.67s
Epoch 119/150 | Train Loss: 0.0899 (KL: 0.0113) | Val Loss: 0.0888 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0011 | Epoch Time: 9.44s | Total Time: 1118.12s
Epoch 120/150 | Train Loss: 0.0899 (KL: 0.0113) | Val Loss: 0.0887 (KL: 0.0082) | KLw: 0.100 | Loss Diff : 0.0012 | Epoch Time: 9.38s | Total Time: 1127.49s
