Epoch 102/150 | Train Loss: 0.0897 (KL: 0.0117) | Val Loss: 0.0890 (KL: 0.0080) | KLw: 0.100 | Loss Diff : 0.0007 | Epoch Time: 9.08s | Total Time: 943.65s
Epoch 103/150 | Train Loss: 0.0896 (KL: 0.0116) | Val Loss: 0.0890 (KL: 0.0070) | KLw: 0.100 | Loss Diff : 0.0006 | Epoch Time: 9.08s | Total Time: 952.73s
Epoch 104/150 | Train Loss: 0.0896 (KL: 0.0116) | Val Loss: 0.0887 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0008 | Epoch Time: 9.07s | Total Time: 961.80s
Epoch 105/150 | Train Loss: 0.0890 (KL: 0.0112) | Val Loss: 0.0884 (KL: 0.0073) | KLw: 0.100 | Loss Diff : 0.0006 | Epoch Time: 9.06s | Total Time: 970.86s
Epoch 106/150 | Train Loss: 0.0889 (KL: 0.0115) | Val Loss: 0.0882 (KL: 0.0089) | KLw: 0.100 | Loss Diff : 0.0007 | Epoch Time: 9.09s | Total Time: 979.95s
Epoch 107/150 | Train Loss: 0.0889 (KL: 0.0113) | Val Loss: 0.0884 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0005 | Epoch Time: 9.07s | Total Time: 989.02s
Epoch 108/150 | Train Loss: 0.0888 (KL: 0.0114) | Val Loss: 0.0883 (KL: 0.0074) | KLw: 0.100 | Loss Diff : 0.0005 | Epoch Time: 9.06s | Total Time: 998.08s
Epoch 109/150 | Train Loss: 0.0888 (KL: 0.0113) | Val Loss: 0.0883 (KL: 0.0093) | KLw: 0.100 | Loss Diff : 0.0005 | Epoch Time: 9.08s | Total Time: 1007.16s
Epoch 110/150 | Train Loss: 0.0888 (KL: 0.0113) | Val Loss: 0.0881 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0006 | Epoch Time: 9.07s | Total Time: 1016.23s
Epoch 111/150 | Train Loss: 0.0888 (KL: 0.0113) | Val Loss: 0.0882 (KL: 0.0078) | KLw: 0.100 | Loss Diff : 0.0007 | Epoch Time: 9.06s | Total Time: 1025.29s
Epoch 112/150 | Train Loss: 0.0887 (KL: 0.0112) | Val Loss: 0.0884 (KL: 0.0083) | KLw: 0.100 | Loss Diff : 0.0003 | Epoch Time: 9.07s | Total Time: 1034.36s
Epoch 113/150 | Train Loss: 0.0887 (KL: 0.0113) | Val Loss: 0.0884 (KL: 0.0077) | KLw: 0.100 | Loss Diff : 0.0003 | Epoch Time: 9.08s | Total Time: 1043.44s
Epoch 114/150 | Train Loss: 0.0887 (KL: 0.0113) | Val Loss: 0.0888 (KL: 0.0086) | KLw: 0.100 | Loss Diff : 0.0001 | Epoch Time: 9.06s | Total Time: 1052.49s
Epoch 115/150 | Train Loss: 0.0887 (KL: 0.0114) | Val Loss: 0.0886 (KL: 0.0075) | KLw: 0.100 | Loss Diff : 0.0001 | Epoch Time: 9.06s | Total Time: 1061.56s
Epoch 116/150 | Train Loss: 0.0887 (KL: 0.0111) | Val Loss: 0.0882 (KL: 0.0088) | KLw: 0.100 | Loss Diff : 0.0005 | Epoch Time: 9.05s | Total Time: 1070.61s
Epoch 117/150 | Train Loss: 0.0884 (KL: 0.0110) | Val Loss: 0.0885 (KL: 0.0081) | KLw: 0.100 | Loss Diff : 0.0001 | Epoch Time: 9.07s | Total Time: 1079.68s
Epoch 118/150 | Train Loss: 0.0884 (KL: 0.0110) | Val Loss: 0.0883 (KL: 0.0079) | KLw: 0.100 | Loss Diff : 0.0001 | Epoch Time: 9.08s | Total Time: 1088.77s
